,ABBV,AXP,BAC,BLK,COF,CVX,GS,HAL,JNJ,JPM,MA,MRK,MS,PFE,SLB,TROW,USB,V,WFC,XOM
2022-08-31,117.33027648925781,145.09605407714844,30.511470794677734,607.7086181640625,99.06350708007812,135.69158935546875,304.9127197265625,27.805131912231445,145.55653381347656,103.68890380859375,317.1816711425781,76.20561218261719,75.43895721435547,36.476898193359375,34.89878463745117,100.62055206298828,38.25510787963867,193.03683471679688,39.73176574707031,84.3929443359375
2022-09-01,120.81198120117188,144.24649047851562,30.584575653076172,606.30419921875,98.11800384521484,133.52821350097656,305.6734619140625,26.706947326660156,149.16522216796875,104.40005493164062,318.0422058105469,77.80364227294922,76.27991485595703,37.605960845947266,33.709571838378906,99.78204345703125,38.47318649291992,194.4163360595703,39.72267532348633,82.8744125366211
2022-09-02,118.9184341430664,142.98638916015625,30.548025131225586,600.112060546875,97.56566619873047,135.5113067626953,303.822021484375,27.69438934326172,146.81956481933594,103.67068481445312,315.411865234375,76.98230743408203,76.48351287841797,36.8559455871582,34.825599670410156,99.22860717773438,38.20478439331055,192.11398315429688,39.431800842285156,84.3929443359375
2022-09-06,120.06153869628906,141.85049438476562,30.209928512573242,607.8755493164062,95.64655303955078,134.88461303710938,299.24835205078125,27.3515682220459,147.21653747558594,103.69802856445312,316.8981018066406,77.15193939208984,75.35928344726562,36.90433120727539,34.33393096923828,99.49695587158203,38.01188278198242,192.9688720703125,38.97731399536133,83.82791137695312
2022-09-07,121.03884887695312,145.33468627929688,30.67595672607422,619.442626953125,98.19288635253906,133.15908813476562,302.978759765625,26.573272705078125,148.01947021484375,105.6673355102539,321.3375244140625,77.55368041992188,76.8907241821289,37.202720642089844,34.05823516845703,101.6854248046875,38.506736755371094,194.69801330566406,39.849937438964844,83.11279296875
2022-09-08,122.61827087402344,146.54701232910156,31.662853240966797,635.7045288085938,99.6439208984375,133.88018798828125,307.39654541015625,26.323101043701172,149.21031188964844,108.12895202636719,322.75543212890625,78.04469299316406,78.28938293457031,37.968875885009766,35.07831954956055,102.05435943603516,39.46289825439453,194.979736328125,41.113426208496094,83.79261016845703
2022-09-09,123.40357208251953,151.24354553222656,31.927846908569336,638.95703125,101.40388488769531,137.33128356933594,311.7227478027344,27.48128890991211,149.4990234375,108.64862823486328,328.4073181152344,77.9732666015625,79.19231414794922,38.58179473876953,36.43845748901367,104.30155944824219,39.907440185546875,199.341552734375,41.20432662963867,85.19635772705078
2022-09-12,124.1191177368164,155.0714111328125,32.229393005371094,640.197265625,102.780029296875,139.5032501220703,313.9958190917969,28.05573844909668,149.43588256835938,109.93415832519531,330.92041015625,78.70533752441406,79.80310821533203,38.51727294921875,36.89794921875,104.76277160644531,39.89066696166992,200.73072814941406,41.3861083984375,86.17632293701172
2022-09-13,120.88176727294922,148.2938995361328,31.06888771057129,592.5139770507812,94.58870697021484,136.85057067871094,300.9897766113281,27.008747100830078,145.54751586914062,106.11407470703125,318.22802734375,77.02694702148438,77.05892181396484,37.25111389160156,35.354026794433594,97.41744232177734,37.89445495605469,193.96945190429688,39.28636169433594,84.16341400146484
2022-09-14,121.77184295654297,149.20071411132812,30.950088500976562,591.2921142578125,94.22361755371094,140.1642608642578,299.9540710449219,28.166927337646484,148.5517578125,105.867919921875,318.62896728515625,78.25088500976562,77.17400360107422,37.21885681152344,36.98065948486328,96.9429931640625,37.82735824584961,193.7168731689453,39.340904235839844,86.22930145263672
